,category,transit_period,transit_duration,transit_depth,transit_depth.1,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
1822,CANDIDATE,0.7460577,1.754,240.0,240.0,1.77725,6162.0,1.13,4.4,-1.280668881100503
1824,CANDIDATE,3.4559382,4.21,2840.0,2840.0,,9290.0,,4.08,-0.4244700843492644
1825,CANDIDATE,1.4711386,1.677,839.0,839.0,6.70217,6514.0,2.19,3.88,-0.7428741621398879
1826,CANDIDATE,2.682814,0.987,1080.0,1080.0,23.5198,8528.0,5.28,,-0.7972179021822741
1827,CANDIDATE,3.817421,2.47,1000.0,1000.0,3.32507,6033.7,1.02,4.47,-0.5162479001141973
1828,CANDIDATE,16.2709828,1.835,5870.0,5870.0,6.81631,4811.0,0.87,4.45,-0.4031492032503355
1829,CANDIDATE,3.6039259,3.737,940.0,940.0,9.20389,7080.0,3.05,3.67,-1.2423831954719935
1831,CANDIDATE,4.1554362,6.088,1020.0,1020.0,11.1924,6352.0,3.53,3.44,-0.3820733897502433
1833,CANDIDATE,5.3376282,2.143,2060.0,2060.0,16.1323,4825.0,3.5,,-0.7890081376211926
1834,CANDIDATE,6.0210332,2.211,7500.0,7500.0,18.8835,7668.0,1.93,,-0.4101948967169357
1835,CANDIDATE,7.234064,6.0205683,10621.8735536,10621.8735536,18.5228447,6770.0,1.73783,4.11942,0.1630794838654896
1836,CANDIDATE,1.3326579,1.5960595,37285.6090775,37285.6090775,11.5968325,3947.0,0.594491,4.65587,1.430997973354993
1838,CANDIDATE,20.6006151,1.4716288,12106.6702221,12106.6702221,8.1782864,3821.0,0.494575,4.74216,-0.6660454699040906
1839,CANDIDATE,1.4509175,1.123,7270.0,7270.0,20.5418,6472.0,1.24,4.37386,0.1315270305150618
1841,CANDIDATE,4.724665,4.3082924,6163.2889314,6163.2889314,12.5337443,5385.7,1.5727,4.4,1.0175689341148306
1842,CANDIDATE,1.1645141,1.648221,1828.5119817,1828.5119817,6.3506237,5979.0,1.23369,4.29665,-0.0688769984349339
