category,transit_period,transit_duration,transit_depth,transit_depth,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
CP,2.4919771,1.4338141,2093.9594201,2093.9594201,2.2187585,3948.0,0.482388,4.68962,-0.3777234398708644
FP,,2.726775,878.134108,878.134108,1.710706,3773.0,0.577983,4.438,-1.9469525421320226
CP,25.5195307,6.6877451,558.3758637,558.3758637,2.9641461,5742.22,1.17321,4.29,-2.183749109509501
PC,1.3812115,2.7372191,117.7553083,117.7553083,2.2402361,6711.0,1.7756799,4.06358,-2.180992099022571
PC,2.3922703,9.0053425,63.575141,63.575141,3.5905923,6090.0,4.1956,3.29864,-1.9443793323442202
FP,0.831542,1.985538,248.969585,248.969585,1.881684,5824.0,1.1512,4.438,-1.8149836401576132
PC,2.6282553,2.0930597,75.2858004,75.2858004,0.9817044,6282.0,1.10743,4.37809,-1.4239170193114432
PC,3.4239436,1.9601023,443.6391381,443.6391381,1.7581475,5626.0,0.823019,4.56195,-0.5951596669401206
PC,10.983042,3.7478987,725.1724567,725.1724567,2.5070075,5626.0,0.823019,4.56195,-0.5951596669401206
PC,17.726449,3.4404719,747.7725499,747.7725499,2.261664,5626.0,0.823019,4.56195,-0.5951596669401206
PC,40.7199388,4.2436925,355.619391,355.619391,3.2352713,5914.0,1.55953,3.98,-1.2050103866491575
APC,14.7741056,5.504,15041.0,15041.0,15.3936,6053.0,1.23,4.3135,-0.9974381304331416
FP,79.3739596,5.392,1227.0,1227.0,2.17454,5168.33,0.77,4.60584,-0.23748350643566424
PC,18.1663644,2.464,624.0,624.0,2.80447,5572.9,1.14,3.83,-1.0723675487779434
PC,105.5850893,11.6068811,462.9116325,462.9116325,2.5033335,5909.57,1.1142,4.26154,-0.7120569115859754
FP,27.2149622,3.7190483,4731.4046225,4731.4046225,8.3475973,6270.0,0.989667,4.54537,-0.5664867578760422
PC,19.1807264,3.9621084,544.5602695,544.5602695,2.4311768,5262.4,0.937973,3.98,-0.9379479708151518
PC,1.2124493,0.9984653,501.2911711,501.2911711,0.879419,3751.0,0.518,4.75718,-0.700783802039415
PC,4.5541831,7.8146963,187.8286128,187.8286128,0.8887417,4280.0,0.635812,4.61209,-0.010918511309683073
PC,41.4856125,6.6899368,959.7522291,959.7522291,12.5121956,6354.0,3.4868701,4.24472,-1.1714973925080236
PC,13.7738265,2.9992376,338.2166234,338.2166234,1.8971927,5455.96,1.01825,4.46737,-0.7210631458432815
PC,1.9142544,3.256,248.0,248.0,2.04421,6734.0,1.59,4.18582,-0.8841556328701515
CP,5.0780325,1.2100353,5923.1283069,5923.1283069,2.6347763,3318.0,0.334125,4.9581,0.9313664062234683
APC,70.3607265,1.0325441,1353.9678246,1353.9678246,8.2807306,6308.0,2.0982201,3.98679,-1.2461817432539868
CP,91.6827832,9.7504857,713.2183569,713.2183569,3.239855,5802.0,1.01814,4.44521,-0.9235502493834031
PC,10.1944993,2.2648785,317.3261147,317.3261147,2.7392825,6082.0,1.32661,4.33287,-0.7734463450949628
