category,transit_period,transit_duration,transit_depth,transit_depth.1,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
CONFIRMED,8.9534775,2.696,1136.0,1136.0,2.35888,5029.5,0.76,4.61,-0.8019354534599118
FALSE POSITIVE,7.5022708,2.605,1760.0,1760.0,5.55812,6229.0,1.27,4.31,-0.833978042008015
CANDIDATE,14.0077666,5.8727493,5924.8349672,5924.8349672,12.4023108,6557.7,1.57435,4.18,-0.8495398345342459
FALSE POSITIVE,1.692892,2.886,1418.0,1418.0,11.2371,9121.5,2.1,4.21,-0.8590362039892285
FALSE POSITIVE,2.6652007,3.49,819.0,819.0,2.35964,4043.4,0.56,4.69,-0.8749043310140066
CANDIDATE,1.2615323,1.039,2841.0,2841.0,8.67407,4927.9,0.78,4.57,-0.8776613415009372
CONFIRMED,6.0344667,1.89,1800.0,1800.0,4.44029,5586.0,1.05,4.36763,-1.46110602743515
CONFIRMED,9.6867516,2.512,1669.0,1669.0,3.00336,4738.1,0.73,4.59,-0.8894858531448835
CONFIRMED,2.1031647,5.059,7142.0,7142.0,16.7087,6122.0,1.93,3.93,-0.9097039300490404
CONFIRMED,5.7484439,1.76,1041.0,1041.0,2.35215,4534.0,0.69,4.61,-0.99063750456538
FALSE POSITIVE,1.1967018,1.879,824.0,824.0,10.3239,5997.0,1.73,4.0,-0.9947117533960655
FALSE POSITIVE,11.2464616,7.391,7576.0,7576.0,17.6677,6115.7,2.01,3.89,-1.0046553712189286
CANDIDATE,2.5941968,0.861,907.0,907.0,4.47229,6389.0,1.4,4.26,-1.019249146729748
CANDIDATE,5.5411114,2.467,633.0,633.0,2.04482,5332.0,0.82,4.56429,-1.399900394625292
CANDIDATE,10.6917268,3.002,535.0,535.0,1.79811,5332.0,0.82,4.56429,-1.399900394625292
CANDIDATE,3.6950015,4.515,7655.0,7655.0,14.1288,7106.7,1.63,4.2,-1.077397561244099
FALSE POSITIVE,15.7335693,3.288,2540.0,2540.0,24.3218,6800.0,2.21,3.91,-1.0909926862896522
CONFIRMED,2.3106428,1.294,6911.0,6911.0,8.76741,5339.9,0.99,4.41,-0.6651264664084471
CANDIDATE,5.5376617,2.517,5390.0,5390.0,15.6557,6689.0,2.06,3.96,-0.6935543078736855
CANDIDATE,4.5960377,4.744,5000.0,5000.0,16.2166,7649.0,2.12,4.04,-0.6979042577530655
CONFIRMED,3.612771,4.142,11794.0,11794.0,19.3662,8324.0,1.71,4.28,-0.6996197309449327
CONFIRMED,3.6714717,2.149,4340.0,4340.0,10.678,5618.0,1.54,4.06,-0.6994971971455138
CONFIRMED,11.535076,8.555958,2389.90616,2389.90616,12.215808,5479.3,2.48771,3.77,-2.731046324615069
FALSE POSITIVE,0.8352406,1.043,2065.0,2065.0,6.4875,6105.0,1.24,4.31,-0.7118118439871377
CONFIRMED,2.4919771,1.4338141,2093.9594201,2093.9594201,2.2187585,3948.0,0.482388,4.68962,-0.3777234398708644
CONFIRMED,25.5195307,6.6877451,558.3758637,558.3758637,2.9641461,5742.22,1.17321,4.29,-2.183749109509501
CANDIDATE,1.3812115,2.7372191,117.7553083,117.7553083,2.2402361,6711.0,1.7756799,4.06358,-2.180992099022571
CANDIDATE,2.3922703,9.0053425,63.575141,63.575141,3.5905923,6090.0,4.1956,3.29864,-1.94437933234422
FALSE POSITIVE,0.831542,1.985538,248.969585,248.969585,1.881684,5824.0,1.1512,4.438,-1.8149836401576127
CANDIDATE,2.6282553,2.0930597,75.2858004,75.2858004,0.9817044,6282.0,1.10743,4.37809,-1.4239170193114432
CANDIDATE,3.4239436,1.9601023,443.6391381,443.6391381,1.7581475,5626.0,0.823019,4.56195,-0.5951596669401206
CANDIDATE,10.983042,3.7478987,725.1724567,725.1724567,2.5070075,5626.0,0.823019,4.56195,-0.5951596669401206
CANDIDATE,17.726449,3.4404719,747.7725499,747.7725499,2.261664,5626.0,0.823019,4.56195,-0.5951596669401206
CANDIDATE,40.7199388,4.2436925,355.619391,355.619391,3.2352713,5914.0,1.55953,3.98,-1.2050103866491575
CANDIDATE,14.7741056,5.504,15041.0,15041.0,15.3936,6053.0,1.23,4.3135,-0.9974381304331416
FALSE POSITIVE,79.3739596,5.392,1227.0,1227.0,2.17454,5168.33,0.77,4.60584,-0.2374835064356642
CANDIDATE,18.1663644,2.464,624.0,624.0,2.80447,5572.9,1.14,3.83,-1.0723675487779434
CANDIDATE,105.5850893,11.6068811,462.9116325,462.9116325,2.5033335,5909.57,1.1142,4.26154,-0.7120569115859754
FALSE POSITIVE,27.2149622,3.7190483,4731.4046225,4731.4046225,8.3475973,6270.0,0.989667,4.54537,-0.5664867578760422
CANDIDATE,19.1807264,3.9621084,544.5602695,544.5602695,2.4311768,5262.4,0.937973,3.98,-0.9379479708151518
CANDIDATE,1.2124493,0.9984653,501.2911711,501.2911711,0.879419,3751.0,0.518,4.75718,-0.700783802039415
CANDIDATE,4.5541831,7.8146963,187.8286128,187.8286128,0.8887417,4280.0,0.635812,4.61209,-0.010918511309683
CANDIDATE,41.4856125,6.6899368,959.7522291,959.7522291,12.5121956,6354.0,3.4868701,4.24472,-1.1714973925080236
CANDIDATE,13.7738265,2.9992376,338.2166234,338.2166234,1.8971927,5455.96,1.01825,4.46737,-0.7210631458432815
CANDIDATE,1.9142544,3.256,248.0,248.0,2.04421,6734.0,1.59,4.18582,-0.8841556328701515
CONFIRMED,5.0780325,1.2100353,5923.1283069,5923.1283069,2.6347763,3318.0,0.334125,4.9581,0.9313664062234684
CANDIDATE,70.3607265,1.0325441,1353.9678246,1353.9678246,8.2807306,6308.0,2.0982201,3.98679,-1.2461817432539868
CONFIRMED,91.6827832,9.7504857,713.2183569,713.2183569,3.239855,5802.0,1.01814,4.44521,-0.9235502493834032
CANDIDATE,10.1944993,2.2648785,317.3261147,317.3261147,2.7392825,6082.0,1.32661,4.33287,-0.7734463450949628
FALSE POSITIVE,14.64319,2.5483426,242.7923919,242.7923919,3.41248,6516.0,2.04178,3.99366,-1.3802949867182304
CONFIRMED,4.1782656,1.675904,2537.6781602,2537.6781602,2.1023854,3442.0,0.404403,4.893,-0.0047918213387264
CONFIRMED,17.9453645,3.0740072,5480.684864,5480.684864,3.3839124,3442.0,0.404403,4.893,-0.0047918213387264
CANDIDATE,13.896396,3.5885605,748.5332881,748.5332881,2.4586343,5522.87,0.888163,4.67156,0.1190898498740202
CANDIDATE,8.1213102,3.1040945,594.6443745,594.6443745,2.3157186,5522.87,0.888163,4.67156,0.1190898498740202
CANDIDATE,3.9287851,1.8165271,485.9762569,485.9762569,2.329279,5668.15,0.986943,4.52573,-0.0076100987253665
CONFIRMED,27.3613778,4.0586418,20690.6684294,20690.6684294,6.4522449,3050.0,0.44128,4.438,1.3712627461381643
CONFIRMED,29.0497517,7.117,318.0,318.0,2.84674,8208.0,1.8,4.25979,-1.5117737534949631
CANDIDATE,31.8132264,11.2567164,11479.375547,11479.375547,21.6314984,6028.84,1.98893,3.96199,-0.480835632082067
CONFIRMED,3.3088922,6.114,4736.0,4736.0,24.9862,6188.0,2.62,4.27166,-2.25942598403076
