category,transit_period,transit_duration,transit_depth,transit_depth.1,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
CANDIDATE,2.688899233,2.11275,37492.0,37492.0,12.04,4820.0,0.639,4.667,1.0836883684049812
CONFIRMED,9.439459486,2.8979,3036.1,3036.1,4.16,5097.0,0.779,4.597,0.5791584714398527
CONFIRMED,11.523067458,3.8757,507.3,507.3,3.13,5644.0,1.411,4.162,-1.384827007304232
CONFIRMED,20.47748843,2.8364,1382.4,1382.4,2.92,5097.0,0.779,4.597,0.5791584714398527
CONFIRMED,3.336123113,1.9616,516.3,516.3,1.74,5097.0,0.779,4.597,0.5791584714398527
CONFIRMED,8.01078456,2.312,1333.6,1333.6,1.72,3713.0,0.47,4.779,1.1421532062507254
CONFIRMED,12.07134205,4.3224,759.2,759.2,1.29,3713.0,0.47,4.779,1.1421532062507254
CONFIRMED,20.99587872,2.6333,767.3,767.3,1.3,3713.0,0.47,4.779,1.1421532062507254
CONFIRMED,7.41113177,2.5242,620.5,620.5,2.45,5849.0,0.919,4.517,0.5531740990639665
FALSE POSITIVE,1.000747038,0.9967,1823.5,1823.5,4.14,5472.0,0.79,4.499,0.8332278902262982
CONFIRMED,8.884922995,2.07004,16053.0,16053.0,10.51,5332.0,0.843,4.5,0.7213507313856752
CONFIRMED,8.09888906,4.20241,6911.1,6911.1,8.95,6214.0,1.076,4.442,0.7191853670210179
CONFIRMED,10.00653012,5.344,936.1,936.1,3.52,6063.0,1.001,4.47,0.5762713189536434
CONFIRMED,17.855221681,7.41287,9065.2,9065.2,13.16,6823.0,1.367,4.308,-2.101562612005767
CANDIDATE,12.732624065,2.2083,6465.7,6465.7,4.87,3950.0,0.541,4.721,1.0721397584601429
CANDIDATE,83.92494032,6.7904,7958.7,7958.7,4.78,3960.0,0.509,4.746,1.075026910946352
CONFIRMED,5.007316661,4.2362,6932.3,6932.3,6.96,5865.0,0.827,4.563,1.1176124101179443
CONFIRMED,2.211116989,1.6485,724.2,724.2,1.85,4500.0,0.646,4.656,1.1017330714437914
CONFIRMED,27.9541337,3.95,942.5,942.5,1.9,4500.0,0.646,4.656,1.1017330714437914
CONFIRMED,12.69104387,3.7727,252.1,252.1,2.57,5869.0,1.626,4.024,-0.9596938037098672
FALSE POSITIVE,4.409409243,3.8636,12861.0,12861.0,10.95,5600.0,0.975,4.368,0.8216792802814598
CONFIRMED,16.23947096,4.0374,2590.7,2590.7,4.14,5191.0,0.837,4.564,0.7170200026563606
CONFIRMED,6.308201629,2.9785,1328.5,1328.5,2.96,5191.0,0.837,4.564,0.7170200026563606
CONFIRMED,2.052349884,2.0778,14281.0,14281.0,13.12,5855.0,1.08,4.393,0.7162982145348086
CONFIRMED,9.7704486,2.4517,1897.8,1897.8,2.23,3906.0,0.509,4.73,1.091628037742057
CONFIRMED,5.169804269,2.153,1037.4,1037.4,1.66,3906.0,0.509,4.73,1.091628037742057
CONFIRMED,21.22261195,6.5093,366.0,366.0,2.48,5945.0,1.302,4.213,-1.371113032994736
CONFIRMED,20.09017037,4.154,1432.1,1432.1,2.25,3906.0,0.509,4.73,1.091628037742057
CONFIRMED,7.11373257,2.1764,807.6,807.6,1.16,3561.0,0.411,4.855,0.6996970877391036
CONFIRMED,3.306551643,1.8177,509.2,509.2,0.91,3561.0,0.411,4.855,0.6996970877391036
